date,MKTB,DRF,CRF,LRF
2004-08-31,0.021818006996022335,0.028263026471569468,-0.0017866938222671745,-0.003353325559762048
2004-09-30,0.006845165322459894,0.011199205007484987,0.007877055089658231,0.007132725057127314
2004-10-31,0.011121134744420337,0.017250628995165322,0.019534022874174158,0.00312626115488888
2004-11-30,-0.004726437501864023,0.005094624346412791,0.026340248715875415,0.0012513232525672969
2004-12-31,0.010045901745431563,0.024837552729414267,0.008165428905548963,0.0032502167646113397
2005-01-31,0.004179183041678768,0.013603602723509934,-0.013674781556516047,0.006239324802439715
2005-02-28,-0.0013081910622683337,0.002720704140143192,0.018076823587337112,0.002758923003849505
2005-03-31,-0.021972993962835807,-0.025938341367755836,-0.014421517052812959,0.0018719884755136473
2005-04-30,0.006739884106438537,0.0026657703718516515,-0.038730768184995656,0.0032229835811756293
2005-05-31,0.011206560058908105,0.019978833568565006,0.01005395720729042,0.0024163168112120315
2005-06-30,0.00934442695835537,0.011313520991600717,0.009783240407583743,0.000608001311471279
2005-07-31,-0.0021527327854173853,0.004648693636162864,0.02874791747557893,-0.006266052290104962
2005-08-31,0.0036363102048067803,-0.0012160673056084467,-0.015025666288643743,0.003984372386468825
2005-09-30,-0.014444728214653074,-0.0218031874674893,0.0016733841895874401,-0.003105470068574698
2005-10-31,-0.013516020913830983,-0.01920184826522668,0.000542458468078025,-0.007251184740029576
2005-11-30,0.0017927257566339727,-9.502776408217215e-05,0.0024283903409138157,0.004247619594707067
2005-12-31,0.0037295428770730103,0.004276243956237761,-0.00928328944121076,0.004286603431041864
2006-01-31,0.0022434988682399314,0.01011264118146171,0.026978002313297732,-0.0004465541876213331
2006-02-28,-0.0002997363691198655,0.0074289232494474475,0.005550181369047274,0.006248158595096519
2006-03-31,-0.009788122856566444,-0.014267196073257177,0.0210530518180648,-0.006941674466113268
2006-04-30,-0.004570367665989656,-0.008990988327931507,0.015075829125405763,-0.007834457986515435
2006-05-31,-0.003241372876021123,-0.0009378280519753898,0.0017900136093994764,1.3962106835381516e-05
2006-06-30,-0.0070602372986599705,-0.0015605052615001174,-0.00039346721532257053,-0.004194635601369732
2006-07-31,0.011039726301666644,0.012862722990656203,-0.0052045881086668425,-0.0005135940446908113
2006-08-31,0.013847140465490227,0.017253214807081384,-0.0018866440989185561,0.00868646978725722
2006-09-30,0.008318832073584305,0.010666590055302714,0.0012468495961369657,0.0032418674085911924
2006-10-31,0.003987729573925848,0.003247692823722376,0.00874629447260415,-0.0009140271449936211
2006-11-30,0.01155661100852346,0.013749312413154403,0.005847222392697298,0.0015225534775707805
2006-12-31,-0.005286048812621919,-0.004154930660345641,0.016984498295646352,-0.004868047159151689
2007-01-31,-0.003510568974010228,-0.001314303261851529,0.01840913702714336,0.002456643749274905
2007-02-28,0.012981463529970696,0.010804499902046101,-0.004322064457737414,0.005271161929771973
2007-03-31,-0.00627421707443196,-0.012989367497371774,0.003211626415675033,-0.0049106509171433065
2007-04-30,0.0035263156001269936,0.003632796084325627,0.009960875102880289,0.00038274756289911503
2007-05-31,-0.008484367439244658,-0.0030417137419879994,0.020086395801848463,-0.0010545878344496256
2007-06-30,-0.01325463089870924,-0.014825905415298171,-0.008610340123921654,-0.0029219281737577272
2007-07-31,-0.010532967500483555,-0.019547222843622876,-0.03843258784372326,-0.0019754652226940876
2007-08-31,0.007146732989378425,-0.0016178544310572053,-0.00822543249790048,0.0023618556826010524
2007-09-30,0.011455721217907913,0.017096416437135838,0.017966338508694963,-0.002153492116422012
2007-10-31,0.007800224750739352,0.008804435867358292,-0.006085130141076422,0.004939638408185958
2007-11-30,-0.006316969577799682,-0.025297169174996935,-0.033766032807766806,-0.010338116974805883
2007-12-31,-0.003161197158350863,-0.01750371603894791,-0.004212808961991499,-0.004527185806707148
2008-01-31,0.010261935914199471,0.01860081728905916,-0.029858407938355532,0.0039270019576894775
2008-02-29,-0.009234148515713613,-0.02977288832241548,-0.014226416307542124,-0.004785086651318271
2008-03-31,-0.007346111589532684,-0.007051979786205698,-0.002078502270077599,-0.006669037701857605
2008-04-30,0.017450286148940383,0.05148129235378922,0.04798307723052366,0.0029047665949578595
2008-05-31,-0.006521762845416376,-0.002385641059056682,0.021563034881920518,0.005131372708463084
2008-06-30,-0.018229450944040403,-0.04242796422251578,-0.03200855203953464,-0.004133686792289112
2008-07-31,-0.009030179541019694,-0.031331167756281995,-0.014900966420538569,-0.0118383056850845
2008-08-31,0.007821161157338758,0.0047081426212803095,-0.009786908226652275,-0.002134953043809832
2008-09-30,-0.08257664276101416,-0.11086013727192767,0.006972770671953118,-0.03942236015508317
2008-10-31,-0.05861709085439651,0.020941815273782305,-0.1618051422362128,-0.007111091596564818
2008-11-30,0.0014647581686721765,-0.028116194466114786,-0.18177016164809282,-0.008782478547943118
2008-12-31,0.10367323493310794,0.10429732060780905,0.006960138612596876,0.01696988064119546
2009-01-31,0.010857103917665539,0.018250527465446732,0.05820243625715444,0.0092702921644349
2009-02-28,-0.03217620221967733,-0.08603172225070081,-0.012115090111958155,-0.018199957960457928
2009-03-31,0.010745912823768279,0.013413820966052092,0.0627540468688987,0.02957838219699971
2009-04-30,0.05995790489371328,0.11465264704219102,0.1041475549930941,0.062446354435620875
2009-05-31,0.04471827562970683,0.11819423765284265,0.03591947099344483,0.06428100391963933
2009-06-30,0.025342719611355858,0.02935830721143351,0.006536675010556745,0.026936175167568632
2009-07-31,0.03925932845786518,0.02365012133448386,0.03113585622317293,-0.0029565553024995554
2009-08-31,0.021376947328183647,0.04656368834938314,0.01567149512561467,0.04019125591398575
