date,MKTad,DRFad,CRFad,DEF,TERM,Mkt-RF,hkm
1986-01-31,0.0034018074248549136,0.00038674181179274074,0.009144546675557396,0.006999999999999999,-0.0081,0.006500000000000001,0.0266
1986-02-28,0.05673649418861741,0.05997407135469186,-0.027928575149540034,-0.0393,0.1092,0.0713,0.115
1986-03-31,0.023732131872729215,0.02353278782416422,0.013416440458926149,-0.0514,0.071,0.048799999999999996,0.0795
1986-04-30,-0.00045345958323076015,-0.007020659545434865,0.00516201654586014,0.009600000000000001,-0.0132,-0.0131,-0.0561
1986-05-31,-0.017534516347722878,-0.01660543785863874,0.016237694050749766,0.034100000000000005,-0.055400000000000005,0.0462,0.032299999999999995
1986-06-30,0.014933350703125875,0.008969800548489813,-0.003795680258431064,-0.0395,0.0561,0.0103,-0.044
1986-07-31,-0.00376324500953422,-0.0020676644607405545,-0.009479394867428449,0.013900000000000001,-0.016,-0.0645,-0.0837
1986-08-31,0.019036178131278444,0.014438929544139964,-0.00485172212706916,-0.0224,0.0453,0.060700000000000004,0.09409999999999999
1986-09-30,-0.0031491115957341283,-0.004392760896975167,0.028590289562024855,0.0386,-0.0545,-0.086,-0.125
1986-10-31,0.012576277008300652,0.009107122584921004,0.0010638012736046993,-0.009999999999999998,0.0243,0.0466,0.06670000000000001
1986-11-30,0.011381039572364096,0.0013830088186800483,-0.008690846873607147,-0.0034000000000000002,0.0228,0.011699999999999999,-0.0148
1986-12-31,0.007037851223586563,0.01578598741103059,0.012415941143563331,0.0135,-0.006699999999999999,-0.0327,-0.0284
1987-01-31,0.022708108207332357,0.019791944340959197,0.010103957776450232,0.005500000000000001,0.0119,0.1247,0.1107
1987-02-28,0.002938769798536132,0.0008075935128462639,0.008725968286476322,-0.0144,0.015899999999999997,0.043899999999999995,-0.0021
1987-03-31,-0.009686928919275516,-0.007186161553514235,0.010463584527251628,0.013600000000000001,-0.027,0.016399999999999998,-0.0207
1987-04-30,-0.04170511339102359,-0.03670732982538449,0.01921746103137326,-0.0029,-0.0517,-0.021099999999999997,-0.0339
1987-05-31,-0.0046784896058720635,0.007226131918232068,0.025732693929425295,0.005300000000000001,-0.0143,0.0011,-0.0073
1987-06-30,0.007530101497094814,0.0003557465088157116,-0.013204371986744479,0.0057,0.005,0.0394,0.0439
1987-07-31,-0.004174790927913136,-0.003995093312188877,0.02229987314082981,0.005899999999999999,-0.0224,0.0385,0.0182
1987-08-31,-0.011016512911551441,-0.013695112480801661,0.0071994409538280995,0.009000000000000001,-0.0212,0.0352,0.0253
1987-09-30,-0.03435012737092594,-0.03531544648547195,0.021185480369290303,-0.005299999999999999,-0.0414,-0.0259,-0.039599999999999996
1987-10-31,0.022565810995897315,0.02565121421055989,-0.046885615331129886,-0.0116,0.0563,-0.2324,-0.2871
1987-11-30,0.008155084460729626,0.0021316609596894382,-0.004237918748645991,0.0088,0.0002000000000000001,-0.07769999999999999,-0.1026
1987-12-31,0.01520699687229585,0.008634828943450319,-0.005451070152268337,0.004699999999999999,0.0126,0.0681,0.0347
1988-01-31,0.0386310508711062,0.03547545667515754,-0.012207312383545312,-0.014900000000000004,0.0637,0.0421,0.0992
1988-02-29,0.012828628584064018,0.012385509194558792,0.013385200906785424,0.0086,0.0005999999999999998,0.0475,0.024
1988-03-31,-0.01335845529576325,-0.018027520006462697,0.015735745377059747,0.0119,-0.0351,-0.0227,-0.045700000000000005
1988-04-30,-0.010544656228716299,-0.017276799610104664,0.019424047291502537,0.0011000000000000003,-0.0206,0.005600000000000001,-0.0010999999999999998
1988-05-31,-0.010798722021279853,-0.01084361573720705,0.009199238086554666,0.0045000000000000005,-0.015300000000000001,-0.0029,0.0613
1988-06-30,0.020564898139266624,0.024063945186455587,-0.007892067579250556,0.0011000000000000038,0.0319,0.0479,0.0768
1988-07-31,-0.0053768675631712184,-0.0036981456395465627,0.011415450868971673,0.005900000000000001,-0.0221,-0.0125,0.0051
1988-08-31,-0.004084967569825549,-0.00412854832290295,-0.002127906283657579,-0.0003999999999999993,-0.00010000000000000026,-0.0331,-0.0178
1988-09-30,0.016637988997580955,0.013691607398766056,-0.007645870248115345,-0.0019000000000000059,0.028300000000000002,0.033,0.0374
1988-10-31,0.011501137139874558,0.014881405607729626,-0.004126195037487809,-0.0034999999999999996,0.0247,0.0115,-0.004399999999999999
1988-11-30,-0.01172495894748568,-0.00964351256381597,0.014428095081794066,0.002700000000000001,-0.0253,-0.0229,-0.0109
1988-12-31,-0.0032983519923990073,-0.00091099868620205,-0.0009710258137029935,-0.0070999999999999995,0.004699999999999999,0.0149,-0.0228
1989-01-31,0.009865534932144739,0.010811142520672992,-0.0020122185259987485,-9.99999999999994e-05,0.014799999999999999,0.061,0.1056
1989-02-28,-0.010375406106826442,-0.006157570824892906,0.01001169862621308,0.004999999999999999,-0.024,-0.0225,-0.0361
1989-03-31,-0.003583689014241561,0.004244450440958161,-0.0046293971119978124,-0.0058000000000000005,0.0055000000000000005,0.015700000000000002,0.0732
1989-04-30,0.006879147928123078,0.01222820289333061,-0.019998701438400955,0.0053999999999999986,0.0092,0.0433,0.0087
1989-05-31,0.01839653821953051,0.014291487491784225,-0.009205888469225019,-0.0021999999999999936,0.03219999999999999,0.0335,0.026399999999999996
1989-06-30,0.02093798563967359,0.020986917692068795,-0.016803653585940204,-0.0155,0.0479,-0.013500000000000002,-0.0084
1989-07-31,0.010506194062575948,0.006898121957780753,-0.017704253840374724,-0.006000000000000002,0.016800000000000002,0.07200000000000001,0.1308
